Local time,Open,High,Low,Close,Volume
31.12.2019 23:30:00.000 GMT+0530,0.70238,0.70247,0.70154,0.70154,1095.6801
01.01.2020 00:30:00.000 GMT+0530,0.70155,0.70201,0.70154,0.70167,740.22
01.01.2020 01:30:00.000 GMT+0530,0.70166,0.70185,0.70146,0.70162,730.91
01.01.2020 02:30:00.000 GMT+0530,0.70161,0.70186,0.70115,0.70115,994.54
01.01.2020 03:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 04:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 05:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 06:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 07:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 08:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 09:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 10:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 11:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 12:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 13:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 14:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 15:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 16:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 17:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 18:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 19:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 20:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 21:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 22:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
01.01.2020 23:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
02.01.2020 00:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
02.01.2020 01:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
02.01.2020 02:30:00.000 GMT+0530,0.70115,0.70115,0.70115,0.70115,0
02.01.2020 03:30:00.000 GMT+0530,0.70137,0.70159,0.70048,0.70060,958.59
02.01.2020 04:30:00.000 GMT+0530,0.70062,0.70192,0.70062,0.70182,2401.48
02.01.2020 05:30:00.000 GMT+0530,0.70188,0.70191,0.70128,0.70139,3326.8501
02.01.2020 06:30:00.000 GMT+0530,0.70139,0.70195,0.70130,0.70151,3664.04
02.01.2020 07:30:00.000 GMT+0530,0.70150,0.70181,0.70128,0.70152,2486.6399
02.01.2020 08:30:00.000 GMT+0530,0.70153,0.70166,0.70055,0.70058,2293.0601
02.01.2020 09:30:00.000 GMT+0530,0.70058,0.70079,0.70014,0.70019,1732.99
02.01.2020 10:30:00.000 GMT+0530,0.70019,0.70041,0.69950,0.70015,3161.0701
02.01.2020 11:30:00.000 GMT+0530,0.70014,0.70025,0.69950,0.69995,2485.7
02.01.2020 12:30:00.000 GMT+0530,0.69999,0.70029,0.69967,0.70003,2410.53
02.01.2020 13:30:00.000 GMT+0530,0.70003,0.70062,0.69989,0.70053,2988.22
02.01.2020 14:30:00.000 GMT+0530,0.70053,0.70055,0.69957,0.69971,2890.8501
02.01.2020 15:30:00.000 GMT+0530,0.69971,0.69992,0.69908,0.69966,2411.3799
02.01.2020 16:30:00.000 GMT+0530,0.69966,0.69967,0.69826,0.69843,3360.73
02.01.2020 17:30:00.000 GMT+0530,0.69844,0.69924,0.69830,0.69915,3266.52
02.01.2020 18:30:00.000 GMT+0530,0.69914,0.69990,0.69896,0.69963,4193
02.01.2020 19:30:00.000 GMT+0530,0.69963,0.69976,0.69881,0.69914,7478.8599
02.01.2020 20:30:00.000 GMT+0530,0.69913,0.70030,0.69854,0.70021,6629.5098
02.01.2020 21:30:00.000 GMT+0530,0.70023,0.70025,0.69803,0.69812,4288.1499
02.01.2020 22:30:00.000 GMT+0530,0.69810,0.69841,0.69782,0.69834,3321.45
02.01.2020 23:30:00.000 GMT+0530,0.69834,0.69844,0.69801,0.69822,2505.6899
03.01.2020 00:30:00.000 GMT+0530,0.69823,0.69832,0.69791,0.69814,2229.3501
03.01.2020 01:30:00.000 GMT+0530,0.69814,0.69875,0.69802,0.69861,2068.3999
03.01.2020 02:30:00.000 GMT+0530,0.69862,0.69910,0.69857,0.69887,868.14
03.01.2020 03:30:00.000 GMT+0530,0.69890,0.69909,0.69796,0.69821,1217.34
03.01.2020 04:30:00.000 GMT+0530,0.69826,0.69861,0.69798,0.69829,2307.6001
03.01.2020 05:30:00.000 GMT+0530,0.69828,0.69850,0.69782,0.69831,2978.1599
03.01.2020 06:30:00.000 GMT+0530,0.69829,0.69862,0.69726,0.69730,4450.0298
03.01.2020 07:30:00.000 GMT+0530,0.69731,0.69770,0.69655,0.69677,6214.52
03.01.2020 08:30:00.000 GMT+0530,0.69679,0.69697,0.69623,0.69678,4005.6699
03.01.2020 09:30:00.000 GMT+0530,0.69679,0.69712,0.69645,0.69646,1865.83
03.01.2020 10:30:00.000 GMT+0530,0.69647,0.69666,0.69576,0.69599,3481.96
03.01.2020 11:30:00.000 GMT+0530,0.69598,0.69623,0.69574,0.69616,2958.24
03.01.2020 12:30:00.000 GMT+0530,0.69620,0.69636,0.69518,0.69539,4150.4399
03.01.2020 13:30:00.000 GMT+0530,0.69539,0.69588,0.69495,0.69503,4617.48
03.01.2020 14:30:00.000 GMT+0530,0.69503,0.69507,0.69356,0.69366,4293.73
03.01.2020 15:30:00.000 GMT+0530,0.69365,0.69399,0.69345,0.69365,3621.4199
03.01.2020 16:30:00.000 GMT+0530,0.69363,0.69365,0.69299,0.69319,2878.23
03.01.2020 17:30:00.000 GMT+0530,0.69319,0.69486,0.69307,0.69467,3648.9399
03.01.2020 18:30:00.000 GMT+0530,0.69467,0.69553,0.69448,0.69449,4190.54
03.01.2020 19:30:00.000 GMT+0530,0.69449,0.69539,0.69434,0.69466,5727.3599
03.01.2020 20:30:00.000 GMT+0530,0.69480,0.69623,0.69480,0.69549,7456.1401
03.01.2020 21:30:00.000 GMT+0530,0.69551,0.69650,0.69531,0.69612,6164.6299
03.01.2020 22:30:00.000 GMT+0530,0.69612,0.69638,0.69609,0.69625,2871.1799
03.01.2020 23:30:00.000 GMT+0530,0.69625,0.69625,0.69542,0.69565,3136.8201
04.01.2020 00:30:00.000 GMT+0530,0.69564,0.69582,0.69526,0.69581,2748.03
04.01.2020 01:30:00.000 GMT+0530,0.69582,0.69582,0.69519,0.69531,2156.05
04.01.2020 02:30:00.000 GMT+0530,0.69531,0.69540,0.69444,0.69456,1466.4399
04.01.2020 03:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 04:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 05:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 06:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 07:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 08:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 09:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 10:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 11:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 12:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
04.01.2020 13:30:00.000 GMT+0530,0.69456,0.69456,0.69456,0.69456,0
